item_id,target_word,target_level,target_POS,tested_sense_desc,sibling_targets
uvlt_1k_t01_i01,price,1K,noun,cost,photograph (picture); garden (place where things grow outside)
uvlt_1k_t01_i02,photograph,1K,noun,picture,price (cost); garden (place where things grow outside)
uvlt_1k_t01_i03,garden,1K,noun,place where things grow outside,price (cost); photograph (picture)
uvlt_1k_t02_i01,eye,1K,noun,body part that sees,father (parent who is a man); night (part of the day with no sun)
uvlt_1k_t02_i02,father,1K,noun,parent who is a man,eye (body part that sees); night (part of the day with no sun)
uvlt_1k_t02_i03,night,1K,noun,part of the day with no sun,eye (body part that sees); father (parent who is a man)
uvlt_1k_t03_i01,uncle,1K,noun,brother of your mother or father,center (middle); note (short piece of writing)
uvlt_1k_t03_i02,center,1K,noun,middle,uncle (brother of your mother or father); note (short piece of writing)
uvlt_1k_t04_i01,brother,1K,noun,family member,hour (sixty minutes); plan (way of doing things)
uvlt_1k_t04_i02,hour,1K,noun,sixty minutes,brother (family member); plan (way of doing things)
uvlt_1k_t04_i03,plan,1K,noun,way of doing things,brother (family member); hour (sixty minutes)
uvlt_1k_t05_i02,bath,1K,noun,place to wash,grass (green leaves that cover the ground); shoulder (top end of your arm)
uvlt_1k_t05_i03,shoulder,1K,noun,top end of your arm,grass (green leaves that cover the ground); bath (place to wash)
uvlt_1k_t06_i01,prepare,1K,verb,get ready,laugh (make a happy sound); forget (not remember)
uvlt_1k_t06_i03,forget,1K,verb,not remember,prepare (get ready); laugh (make a happy sound)
uvlt_1k_t07_i01,work,1K,verb,do things to get money,return (go back again); check (make sure)
uvlt_1k_t07_i02,return,1K,verb,go back again,work (do things to get money); check (make sure)
uvlt_1k_t07_i03,check,1K,verb,make sure,work (do things to get money); return (go back again)
uvlt_1k_t08_i03,stare,1K,verb,look at for a long time,reply (say or write an answer to somebody); bring (carry to another place)
uvlt_1k_t09_i01,main,1K,adjective,most important,bad (not good); cold (not hot)
uvlt_1k_t09_i02,bad,1K,adjective,not good,main (most important); cold (not hot)
uvlt_1k_t09_i03,cold,1K,adjective,not hot,main (most important); bad (not good)
uvlt_1k_t10_i02,general,1K,adjective,usual,definite (certain); awful (very bad)
uvlt_2k_t01_i01,feature,2K,noun,important part of something,coach (person who trains members of sports teams); weed (unwanted plant)
uvlt_2k_t01_i03,weed,2K,noun,unwanted plant,feature (important part of something); coach (person who trains members of sports teams)
uvlt_2k_t02_i01,vegetable,2K,noun,food grown in gardens,knowledge (information which a person has); average (middle number)
uvlt_2k_t02_i02,knowledge,2K,noun,information which a person has,vegetable (food grown in gardens); average (middle number)
uvlt_2k_t02_i03,average,2K,noun,middle number,vegetable (food grown in gardens); knowledge (information which a person has)
uvlt_2k_t03_i01,circle,2K,noun,round shape,knife (something used to cut food); justice (using laws fairly)
uvlt_2k_t03_i02,knife,2K,noun,something used to cut food,circle (round shape); justice (using laws fairly)
uvlt_2k_t03_i03,justice,2K,noun,using laws fairly,circle (round shape); knife (something used to cut food)
uvlt_2k_t05_i01,envelope,2K,noun,cover for letters,cap (kind of hat); apartment (place to live inside a tall building)
uvlt_2k_t05_i03,apartment,2K,noun,place to live inside a tall building,envelope (cover for letters); cap (kind of hat)
uvlt_2k_t06_i01,wrap,2K,verb,cover tightly and completely,contribute (give to); seek (look for)
uvlt_2k_t06_i03,seek,2K,verb,look for,wrap (cover tightly and completely); contribute (give to)
uvlt_2k_t07_i01,contain,2K,verb,have something inside,search (look for); avoid (try not to do)
uvlt_2k_t07_i02,search,2K,verb,look for,contain (have something inside); avoid (try not to do)
uvlt_2k_t07_i03,avoid,2K,verb,try not to do,contain (have something inside); search (look for)
uvlt_2k_t08_i01,receive,2K,verb,get something,bump (hit gently); include (have as part of something)
uvlt_2k_t09_i02,super,2K,adjective,great,proud (feeling good about what you have done); constant (happening all the time)
uvlt_2k_t10_i01,rotten,2K,adjective,bad,smooth (not rough); junior (younger in position)
uvlt_2k_t10_i02,smooth,2K,adjective,not rough,rotten (bad); junior (younger in position)
uvlt_2k_t10_i03,junior,2K,adjective,younger in position,rotten (bad); smooth (not rough)
uvlt_3k_t01_i01,behavior,3K,noun,actions,celebration (happy occasion); apology (statement saying you are sorry)
uvlt_3k_t01_i02,celebration,3K,noun,happy occasion,behavior (actions); apology (statement saying you are sorry)
uvlt_3k_t02_i01,phrase,3K,noun,combination of words,counsel (guidance); wealth (large amount of money)
uvlt_3k_t02_i03,wealth,3K,noun,large amount of money,phrase (combination of words); counsel (guidance)
uvlt_3k_t03_i01,agriculture,3K,noun,farming,regime (government); volunteer (person who helps without payment)
uvlt_3k_t03_i02,regime,3K,noun,government,agriculture (farming); volunteer (person who helps without payment)
uvlt_3k_t03_i03,volunteer,3K,noun,person who helps without payment,agriculture (farming); regime (government)
uvlt_3k_t05_i01,intelligence,3K,noun,ability to learn,pit (deep place); audience (people who watch and listen)
uvlt_3k_t05_i02,pit,3K,noun,deep place,intelligence (ability to learn); audience (people who watch and listen)
uvlt_3k_t05_i03,audience,3K,noun,people who watch and listen,intelligence (ability to learn); pit (deep place)
uvlt_3k_t07_i02,proceed,3K,verb,go on,capture (catch); debate (talk about what is correct)
uvlt_3k_t08_i01,persist,3K,verb,continue to happen,exceed (goes beyond the limit); absorb (take in)
uvlt_3k_t09_i02,prior,3K,adjective,earlier,approximate (almost exact); frequent (happening often)
uvlt_3k_t10_i01,consistent,3K,adjective,not changing,former (occurring earlier in time); mutual (shared)
uvlt_3k_t10_i03,mutual,3K,adjective,shared,consistent (not changing); former (occurring earlier in time)
uvlt_4k_t01_i01,vitamin,4K,noun,healthy supplement,cave (opening in the ground or in the side of a hill); scenario (situation)
uvlt_4k_t04_i01,crust,4K,noun,hard outside part,verdict (judgment); venue (place)
uvlt_4k_t04_i02,verdict,4K,noun,judgment,crust (hard outside part); venue (place)
uvlt_4k_t05_i01,embassy,4K,noun,government building,tobacco (plant that is smoked in cigarettes); alley (small street between buildings)
uvlt_4k_t05_i02,tobacco,4K,noun,plant that is smoked in cigarettes,embassy (government building); alley (small street between buildings)
uvlt_4k_t05_i03,alley,4K,noun,small street between buildings,embassy (government building); tobacco (plant that is smoked in cigarettes)
uvlt_4k_t06_i01,forbid,4K,verb,do not allow,shrink (make smaller); fling (throw)
uvlt_4k_t07_i02,disclose,4K,verb,tell,weep (cry); activate (turn on)
uvlt_4k_t08_i02,diminish,4K,verb,get smaller,explode (break into pieces violently); transplant (move something to another place)
uvlt_4k_t08_i03,transplant,4K,verb,move something to another place,explode (break into pieces violently); diminish (get smaller)
uvlt_4k_t09_i01,adjacent,4K,adjective,beside,sane (not crazy); swift (quick)
uvlt_4k_t09_i02,sane,4K,adjective,not crazy,adjacent (beside); swift (quick)
uvlt_4k_t10_i01,credible,4K,adjective,believable,greasy (oily); abnormal (unusual)
uvlt_4k_t10_i03,abnormal,4K,adjective,unusual,credible (believable); greasy (oily)
uvlt_5k_t03_i01,lime,5K,noun,green fruit,"hum (low, constant sound); pork (meat from pigs)"
uvlt_5k_t06_i02,intrude,5K,verb,enter without permission,notify (announce); erase (remove)
uvlt_5k_t07_i01,shred,5K,verb,cut or tear into small pieces,expire (end); meditate (think deeply)
uvlt_5k_t07_i02,expire,5K,verb,end,shred (cut or tear into small pieces); meditate (think deeply)
uvlt_5k_t07_i03,meditate,5K,verb,think deeply,shred (cut or tear into small pieces); expire (end)
uvlt_5k_t08_i01,ignite,5K,verb,catch fire,swap (exchange); pierce (go into or through something)
uvlt_5k_t08_i03,pierce,5K,verb,go into or through something,ignite (catch fire); swap (exchange)
uvlt_5k_t09_i01,tranquil,5K,adjective,calm and quiet,bald (having no hair); moist (slightly wet)
uvlt_5k_t09_i03,moist,5K,adjective,slightly wet,tranquil (calm and quiet); bald (having no hair)
uvlt_5k_t10_i01,tame,5K,adjective,not dangerous,mandatory (required); prudent (using good judgment)
uvlt_5k_t10_i03,prudent,5K,adjective,using good judgment,tame (not dangerous); mandatory (required)
