item_id,target_word,target_level,target_POS,tested_sense_desc,condition,foil_type,foil_subtype,review_priority,ljt_eligibility,sentence_text,syntactic_frame,rationale,known_risks,llm_draft_version
uvlt_2k_t06_i01,wrap,2K,verb,cover tightly and completely,inappropriate,b_collocation,b_collocation,routine,eligible,She wrapped the music in paper.,SVO-PP,wrap + direct obj 'music' non-collocate (wrap gift/box/package/present/sandwich standard),could read as selectional (music -concrete wrap target). Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t06_i02,contribute,2K,verb,give to,appropriate,NA,,careful,careful,They contributed money to the hospital.,SVO-PP,give-to sense forced by 'money to hospital',spec example verbatim (§3.4 b1 variant).,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t06_i02,contribute,2K,verb,give to,inappropriate,b_collocation,b_collocation,careful,careful,They contributed laughter to the hospital.,SVO-PP,contribute + direct obj 'laughter' non-collocate (contribute money/time/effort/ideas/support standard),spec example verbatim (§3.4 b1 variant).,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t06_i03,seek,2K,verb,look for,appropriate,NA,,routine,eligible,He sought advice from his father.,SVO-PP,look-for sense forced by 'advice from father',spec example verbatim (§3.4 b3).,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t06_i03,seek,2K,verb,look for,inappropriate,b_collocation,b_collocation,routine,eligible,He sought laughter from his father.,SVO-PP,seek + direct obj 'laughter' non-collocate (seek advice/help/approval/justice/support standard),spec example verbatim (§3.4 b3).,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t07_i01,contain,2K,verb,have something inside,appropriate,NA,,routine,eligible,The box contains three old books.,SVO,have-inside sense forced by 'box' + countable obj,FAIL-MODE-4 risk: 'loud ideas' may drive the oddness rather than contain-ideas. Flagging prominently.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t07_i01,contain,2K,verb,have something inside,inappropriate,b_collocation,b_collocation,routine,eligible,The box contains three loud ideas.,SVO,contain + 'ideas' (+abstract) non-collocate for +physical_container subject; also 'loud ideas' unusual,FAIL-MODE-4 risk: 'loud ideas' may drive the oddness rather than contain-ideas. Flagging prominently.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t07_i02,search,2K,verb,look for,appropriate,NA,,routine,eligible,She searched the room for keys.,SVO-PP,look-for sense forced by 'room for keys',,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t07_i02,search,2K,verb,look for,inappropriate,b_collocation,b_collocation,routine,eligible,She searched the room for songs.,SVO-PP,search for + 'songs' in physical room non-collocate (search for keys/information/answers/clues/truth standard),,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t07_i03,avoid,2K,verb,try not to do,appropriate,NA,,routine,eligible,She avoided heavy traffic every morning.,SVO-temporal,try-not-to-do sense forced by 'heavy traffic' + habitual,,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t07_i03,avoid,2K,verb,try not to do,inappropriate,b_collocation,b_collocation,routine,eligible,She avoided heavy triangles every morning.,SVO-temporal,avoid + 'triangles' non-collocate (avoid traffic/conflict/mistakes/problems/eye contact standard),,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t08_i01,receive,2K,verb,get something,appropriate,NA,,routine,eligible,She received a nice birthday gift.,SVO,get-something sense forced by 'nice birthday gift',,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t08_i01,receive,2K,verb,get something,inappropriate,b_collocation,b_collocation,routine,eligible,She received a nice birthday sky.,SVO,receive + 'sky' non-collocate (receive gift/letter/email/call/message/award standard),,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t08_i02,bump,2K,verb,hit gently,appropriate,NA,,routine,eligible,He bumped his knee on the desk.,SVO-PP,hit-gently sense forced by 'knee on desk',,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t08_i02,bump,2K,verb,hit gently,inappropriate,b_collocation,b_collocation,routine,eligible,He bumped his dream on the desk.,SVO-PP,bump + 'dream' as obj non-collocate (bump head/knee/elbow/into someone standard),,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t08_i03,include,2K,verb,have as part of something,appropriate,NA,,routine,eligible,The price includes all the drinks.,SVO,have-as-part sense forced by 'price includes all the',,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t08_i03,include,2K,verb,have as part of something,inappropriate,b_collocation,b_collocation,routine,eligible,The price includes all the whispers.,SVO,include + 'whispers' non-collocate (include tax/fees/meals/drinks/breakfast standard in this price context),,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t09_i01,proud,2K,adjective,feeling good about what you have done,appropriate,NA,,routine,eligible,She was proud of her daughter.,SVC-PP,feeling-good sense forced by 'of her daughter' (+human),,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t09_i01,proud,2K,adjective,feeling good about what you have done,inappropriate,a_selectional,a_selectional,routine,eligible,She was proud of her pencil.,SVC-PP,proud of + 'pencil' (+ordinary_object) violates +achievement/+worthwhile obj selection,,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t09_i02,super,2K,adjective,great,appropriate,NA,,careful,careful,That was a super nice day.,SVC,great sense forced by 'super' as intensifier + 'nice day',minority-sense. This is fragile; reviewer flag. 'super cloud' can be parsed as 'really cloudy'.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t09_i02,super,2K,adjective,great,inappropriate,a_selectional,b_collocation,careful,careful,That was a super nice cloud.,SVC,super + 'nice cloud' non-collocate; super mostly precedes evaluative contexts (nice day/job/idea/party/friend),minority-sense. This is fragile; reviewer flag. 'super cloud' can be parsed as 'really cloudy'.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t09_i03,constant,2K,adjective,happening all the time,appropriate,NA,,routine,eligible,The constant noise bothered her friends.,SVO,happening-all-the-time sense forced by 'constant noise bothered',bleed: 'constant friend' can mean loyal friend. Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t09_i03,constant,2K,adjective,happening all the time,inappropriate,a_selectional,b_collocation,routine,eligible,The constant friend bothered her breakfast.,SVO,constant + 'friend' unusual in tested sense (constant noise/pain/pressure/reminder/fear/change standard),bleed: 'constant friend' can mean loyal friend. Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t10_i01,rotten,2K,adjective,bad,appropriate,NA,,routine,eligible,They threw away the rotten apples.,SVO,bad sense forced by 'threw away' + 'apples','rotten' can be metaphorical (rotten luck). Watch idiom rescue. Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t10_i01,rotten,2K,adjective,bad,inappropriate,a_selectional,a_selectional,routine,eligible,They threw away the rotten answers.,SVO,rotten requires +organic/+substance; 'answers' is -substance,'rotten' can be metaphorical (rotten luck). Watch idiom rescue. Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t10_i02,smooth,2K,adjective,not rough,appropriate,NA,,careful,careful,The table had a smooth surface.,SVO,not-rough sense forced by 'table' (+concrete) + 'surface',marginal: 'poem has a smooth flow' is natural. Reviewer may reject; flag.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t10_i02,smooth,2K,adjective,not rough,inappropriate,a_selectional,a_selectional,careful,careful,The poem had a smooth surface.,SVO,"'poem' is -concrete, so 'smooth surface' on a poem violates +tactile_concrete selection",marginal: 'poem has a smooth flow' is natural. Reviewer may reject; flag.,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t10_i03,junior,2K,adjective,younger in position,appropriate,NA,,careful,careful,He met the junior staff today.,SVO,younger-in-position sense forced by 'staff' (+human hierarchy),,claude-opus-drafting-v1-2026-04-19
uvlt_2k_t10_i03,junior,2K,adjective,younger in position,inappropriate,a_selectional,a_selectional,careful,careful,He met the junior river today.,SVO,junior requires +human/+hierarchical; 'river' is -human,,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t01_i01,behavior,3K,noun,actions,appropriate,NA,,routine,eligible,His behavior changed after the meeting.,SVC/SV (app); SV-Adj (inapp differs — keeping frames close),actions sense forced by possessive + 'changed',synesthesia rescue risk (spec §3.4 poverty example). Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t01_i01,behavior,3K,noun,actions,inappropriate,a_selectional,a_selectional,routine,eligible,His behavior tasted sweet today.,SVC/SV (app); SV-Adj (inapp differs — keeping frames close),behavior is -substance; 'tasted' requires +substance subject,synesthesia rescue risk (spec §3.4 poverty example). Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t01_i02,celebration,3K,noun,happy occasion,appropriate,NA,,routine,eligible,The celebration lasted all night long.,SV-temporal,happy-occasion sense forced by 'lasted all night',,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t01_i02,celebration,3K,noun,happy occasion,inappropriate,a_selectional,a_selectional,routine,eligible,The celebration melted all night long.,SV-temporal,celebration (+event -substance) + 'melted' requires +substance subject,,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t01_i03,apology,3K,noun,statement saying you are sorry,appropriate,NA,,routine,eligible,Her apology sounded completely sincere.,SV-AdjP,saying-sorry sense forced by 'sounded' + 'sincere',spec §3.4 worked example. Uses canonical form.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t01_i03,apology,3K,noun,statement saying you are sorry,inappropriate,a_selectional,a_selectional,routine,eligible,Her apology wore a blue coat.,SV-AdjP,apology is +verbal_act -body; 'wore a coat' requires +body,spec §3.4 worked example. Uses canonical form.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t02_i01,phrase,3K,noun,combination of words,appropriate,NA,,routine,eligible,He learned a useful phrase today.,SVO,combination-of-words sense forced by 'learned' + 'useful','happy phrase' can mean phrase about happiness. Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t02_i01,phrase,3K,noun,combination of words,inappropriate,b_collocation,b_collocation,routine,eligible,He learned a happy phrase today.,SVO,phrase + 'happy' non-collocate (useful/common/new/key/famous phrase standard),'happy phrase' can mean phrase about happiness. Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t02_i03,wealth,3K,noun,large amount of money,appropriate,NA,,routine,eligible,His wealth grew over many years.,SV-PP,much-money sense forced by 'grew over years',reduces to a_selectional (wealth -animate). Flagging.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t02_i03,wealth,3K,noun,large amount of money,inappropriate,b_collocation,b_collocation,routine,eligible,His wealth played music over many years.,SV-PP,wealth + 'played music' non-collocate; typical: wealth grew/increased/doubled/vanished,reduces to a_selectional (wealth -animate). Flagging.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t03_i01,agriculture,3K,noun,farming,appropriate,NA,,routine,eligible,Modern agriculture supports many small villages.,SVO,farming sense forced by 'modern agriculture supports villages',,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t03_i01,agriculture,3K,noun,farming,inappropriate,a_selectional,a_selectional,routine,eligible,Modern agriculture danced in small villages.,SVO,agriculture (-animate abstract) + 'danced' (+animate action),,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t03_i02,regime,3K,noun,government,appropriate,NA,,careful,careful,The regime ruled the country harshly.,SVO,government sense forced by 'ruled the country',metonymy rescue possible (regime = rulers). Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t03_i02,regime,3K,noun,government,inappropriate,a_selectional,a_selectional,careful,careful,The regime laughed at the country harshly.,SVO,regime in tested sense is -animate abstract; 'laughed' requires +animate sentient,metonymy rescue possible (regime = rulers). Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t03_i03,volunteer,3K,noun,person who helps without payment,appropriate,NA,,routine,eligible,The volunteer helped many old people.,SVO,person-helping-without-payment sense forced by 'helped many old people',oddness arguably at volunteer+rust pairing; reviewer check.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t03_i03,volunteer,3K,noun,person who helps without payment,inappropriate,a_selectional,a_selectional,routine,eligible,The volunteer rusted many old people.,SVO,volunteer (+human) + 'rusted' (+metal) violates material selection,oddness arguably at volunteer+rust pairing; reviewer check.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t04_i01,poverty,3K,noun,having little money,appropriate,NA,,routine,eligible,Extreme poverty affects many rural families.,SVO,little-money sense forced by 'extreme poverty affects rural families',bleeds to a (poverty abstract cannot eat). Flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t04_i01,poverty,3K,noun,having little money,inappropriate,b_collocation,b_collocation,routine,eligible,Extreme poverty eats many rural families.,SVO,poverty + 'eats' as main verb non-collocate (poverty affects/hurts/traps/grips/causes/impacts standard),bleeds to a (poverty abstract cannot eat). Flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t04_i02,heritage,3K,noun,history,appropriate,NA,,careful,careful,We should protect our cultural heritage.,SVO,history sense forced by 'protect our cultural',could slide to a_selectional. Flagging.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t04_i02,heritage,3K,noun,history,inappropriate,b_collocation,b_collocation,careful,careful,We should protect our sleeping heritage.,SVO,heritage + 'sleeping' non-collocate (cultural/national/rich/shared heritage standard),could slide to a_selectional. Flagging.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t04_i03,asset,3K,noun,useful thing,appropriate,NA,,careful,careful,His skills are a great asset here.,SVC,useful-thing sense forced by 'skills are a great',,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t04_i03,asset,3K,noun,useful thing,inappropriate,b_collocation,b_collocation,careful,careful,His skills are a great eating asset.,SVC,asset + 'eating' modifier non-collocate (great/valuable/real/huge/major asset standard),,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t05_i01,intelligence,3K,noun,ability to learn,appropriate,NA,,careful,careful,His intelligence helped solve the problem.,"SVO (app); SVO-PP (inapp, slight mismatch)",ability-to-learn sense forced by 'helped solve the problem',frame mismatch. Consider revise; but matches ±1 word constraint.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t05_i01,intelligence,3K,noun,ability to learn,inappropriate,a_selectional,a_selectional,careful,careful,His intelligence ate dinner in silence.,"SVO (app); SVO-PP (inapp, slight mismatch)",intelligence (-animate abstract) + 'ate' (+animate/+agent),frame mismatch. Consider revise; but matches ±1 word constraint.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t05_i02,pit,3K,noun,deep place,appropriate,NA,,careful,careful,They dug a deep pit quickly.,SVO,deep-place sense forced by 'dug a deep',,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t05_i02,pit,3K,noun,deep place,inappropriate,a_selectional,a_selectional,careful,careful,They dug a talking pit quickly.,SVO,pit (-sentient hole) + 'talking' (+sentient),,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t05_i03,audience,3K,noun,people who watch and listen,appropriate,NA,,routine,eligible,The audience clapped after the show.,SV-PP,watchers/listeners sense forced by 'clapped after show',,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t05_i03,audience,3K,noun,people who watch and listen,inappropriate,a_selectional,a_selectional,routine,eligible,The audience rusted after the show.,SV-PP,audience (+human collective) + 'rusted' (+metal) violates material,,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t06_i02,specify,3K,verb,say clearly,appropriate,NA,,critical,careful,Please specify the exact meeting date.,SVO,say-clearly sense forced by 'exact meeting date',CRITICAL item. Report verb with broad collocates — foil may feel arbitrary. Native flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t06_i02,specify,3K,verb,say clearly,inappropriate,b_collocation,b_collocation,critical,careful,Please specify the exact meeting cloud.,SVO,specify + 'cloud' as obj non-collocate (specify date/time/amount/location/conditions/requirements standard),CRITICAL item. Report verb with broad collocates — foil may feel arbitrary. Native flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t06_i03,exhibit,3K,verb,show in public,appropriate,NA,,critical,careful,The museum exhibits ancient Greek art.,SVO,show-in-public sense forced by 'museum' + 'ancient Greek art',CRITICAL item. Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t06_i03,exhibit,3K,verb,show in public,inappropriate,b_collocation,b_collocation,critical,careful,The museum exhibits ancient Greek dinners.,SVO,exhibit + 'dinners' non-collocate (exhibit art/paintings/sculpture/work/artifacts standard),CRITICAL item. Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t07_i01,capture,3K,verb,catch,appropriate,NA,,careful,careful,The police captured the escaped prisoner.,SVO,catch sense forced by 'police captured' + 'escaped prisoner',minority-sense (capture moment/beauty idiom). Foil could be rescued by 'capture a sunrise (photo)' idiom. Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t07_i01,capture,3K,verb,catch,inappropriate,b_collocation,b_collocation,careful,careful,The police captured the escaped sunrise.,SVO,capture + 'sunrise' as direct obj in this sense non-collocate (capture thief/prisoner/fugitive/town/fort standard for catch sense),minority-sense (capture moment/beauty idiom). Foil could be rescued by 'capture a sunrise (photo)' idiom. Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t07_i02,proceed,3K,verb,go on,appropriate,NA,,routine,eligible,They proceeded to the next room.,SV-PP,go-on sense forced by 'to the next room' (physical movement),mild — could read as b: proceed to next song (in playlist) is natural. Weak foil; reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t07_i02,proceed,3K,verb,go on,inappropriate,b_collocation,b_collocation,routine,eligible,They proceeded to the next song.,SV-PP,proceed to + 'song' non-collocate (proceed to + next step/room/area/phase/level standard),mild — could read as b: proceed to next song (in playlist) is natural. Weak foil; reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t08_i01,persist,3K,verb,continue to happen,appropriate,NA,,critical,careful,The heavy rain persisted for three days.,SV-PP,continue-to-happen sense forced by 'heavy rain persisted for three days',"CRITICAL item. FAIL-MODE-4 risk: oddness at for+triangles, not persist. Reviewer flag.",claude-opus-drafting-v1-2026-04-19
uvlt_3k_t08_i01,persist,3K,verb,continue to happen,inappropriate,b_collocation,b_collocation,critical,careful,The heavy rain persisted for three triangles.,SV-PP,persisted for + 'triangles' non-collocate duration unit (hours/days/weeks/months/years standard),"CRITICAL item. FAIL-MODE-4 risk: oddness at for+triangles, not persist. Reviewer flag.",claude-opus-drafting-v1-2026-04-19
uvlt_3k_t08_i02,exceed,3K,verb,goes beyond the limit,appropriate,NA,,routine,eligible,The cost exceeded our original estimate.,SVO,goes-beyond-limit sense forced by 'cost exceeded' + 'estimate',,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t08_i02,exceed,3K,verb,goes beyond the limit,inappropriate,b_collocation,b_collocation,routine,eligible,The cost exceeded our original breakfast.,SVO,exceed + 'breakfast' as obj non-collocate (exceed expectations/limits/budget/estimates/target standard),,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t09_i01,approximate,3K,adjective,almost exact,appropriate,NA,,critical,careful,Please give an approximate cost today.,SVO,almost-exact sense forced by 'give an' + 'cost',CRITICAL item. Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t09_i01,approximate,3K,adjective,almost exact,inappropriate,a_selectional,b_collocation,critical,careful,Please give an approximate cousin today.,SVO,approximate + 'cousin' non-collocate (approximate number/cost/time/size/value/age/weight standard),CRITICAL item. Reviewer flag.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t09_i02,prior,3K,adjective,earlier,appropriate,NA,,careful,careful,His prior experience helped him greatly.,SVO,earlier sense forced by 'prior experience' + 'helped',,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t09_i02,prior,3K,adjective,earlier,inappropriate,a_selectional,b_collocation,careful,careful,His prior breakfast helped him greatly.,SVO,prior + 'breakfast' non-collocate (prior experience/knowledge/notice/approval/arrangement/engagement standard),,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t09_i03,frequent,3K,adjective,happening often,appropriate,NA,,routine,eligible,The frequent rain damaged our garden.,SVO,happening-often sense forced by 'frequent rain' + 'damaged garden',,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t09_i03,frequent,3K,adjective,happening often,inappropriate,a_selectional,b_collocation,routine,eligible,The frequent dream damaged our garden.,SVO,frequent + 'dream' non-collocate (frequent visitor/flyer/use/rain/stops/trips standard),,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t10_i01,consistent,3K,adjective,not changing,appropriate,NA,,careful,careful,Her grades have been consistent recently.,SVC,not-changing sense forced by 'grades have been consistent',grammatical oddness: copula+pl N needs article. Iteration 3.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t10_i01,consistent,3K,adjective,not changing,inappropriate,a_selectional,b_collocation,careful,careful,Her grades have been consistent apples.,SVC,consistent + 'apples' non-collocate; consistent quality/results/performance/approach/message standard,grammatical oddness: copula+pl N needs article. Iteration 3.,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t10_i03,mutual,3K,adjective,shared,appropriate,NA,,careful,careful,Their mutual respect grew over time.,SVO,shared sense forced by 'mutual respect' + 'grew',,claude-opus-drafting-v1-2026-04-19
uvlt_3k_t10_i03,mutual,3K,adjective,shared,inappropriate,a_selectional,b_collocation,careful,careful,Their mutual cupboard grew over time.,SVO,mutual + 'cupboard' non-collocate (mutual respect/friend/interest/agreement/understanding/benefit standard),,claude-opus-drafting-v1-2026-04-19
uvlt_4k_t01_i01,vitamin,4K,noun,healthy supplement,appropriate,NA,,routine,eligible,Doctors say vitamins help your health.,SVO,healthy-supplement sense forced by 'doctors' + 'help your health',,claude-opus-drafting-v1-2026-04-19
uvlt_4k_t01_i01,vitamin,4K,noun,healthy supplement,inappropriate,a_selectional,a_selectional,routine,eligible,Doctors say vitamins laugh at night.,SVO,vitamin (-animate) + 'laugh' (+animate),,claude-opus-drafting-v1-2026-04-19
uvlt_4k_t01_i02,cave,4K,noun,opening in the ground or in the side of a hill,appropriate,NA,,routine,eligible,The bear slept inside the cave.,SV-PP,hill-opening sense forced by 'bear slept inside',,claude-opus-drafting-v1-2026-04-19
uvlt_4k_t01_i02,cave,4K,noun,opening in the ground or in the side of a hill,inappropriate,a_selectional,a_selectional,routine,eligible,The bear slept inside the happy cave.,SV-PP,cave (-animate geological) + 'happy' (+animate),,claude-opus-drafting-v1-2026-04-19
uvlt_4k_t02_i01,soap,4K,noun,something used for cleaning,appropriate,NA,,routine,eligible,He washed his hands with soap carefully.,SVO-PP,cleaning-product sense forced by 'washed hands with',bleeds to a. Flag.,claude-opus-drafting-v1-2026-04-19
uvlt_4k_t02_i01,soap,4K,noun,something used for cleaning,inappropriate,b_collocation,b_collocation,routine,eligible,He washed his hands with angry soap.,SVO-PP,soap + 'angry' non-collocate (bar/liquid/hand/dish/fresh soap standard),bleeds to a. Flag.,claude-opus-drafting-v1-2026-04-19
uvlt_4k_t02_i02,tutor,4K,noun,teacher,appropriate,NA,,routine,eligible,The tutor taught me some math.,SVO,teacher sense forced by 'taught me',"swap is at verb arg, not direct modifier of tutor. Flag.",claude-opus-drafting-v1-2026-04-19
uvlt_4k_t02_i02,tutor,4K,noun,teacher,inappropriate,b_collocation,b_collocation,routine,eligible,The tutor taught me some clouds.,SVO,tutor taught + 'clouds' as subj matter non-collocate (math/English/grammar/piano/chess/history standard),"swap is at verb arg, not direct modifier of tutor. Flag.",claude-opus-drafting-v1-2026-04-19
uvlt_4k_t02_i03,diamond,4K,noun,valuable stone,appropriate,NA,,routine,eligible,She wore a small diamond ring.,SVO,valuable-stone sense forced by 'wore a small' + 'ring',bleeds to a. Flag.,claude-opus-drafting-v1-2026-04-19
uvlt_4k_t02_i03,diamond,4K,noun,valuable stone,inappropriate,b_collocation,b_collocation,routine,eligible,She wore a sleeping diamond ring.,SVO,diamond + 'sleeping' mod non-collocate (small/large/fake/real/engagement/tiny diamond standard),bleeds to a. Flag.,claude-opus-drafting-v1-2026-04-19
uvlt_4k_t03_i01,orchestra,4K,noun,group of people who play music,appropriate,NA,,routine,eligible,The orchestra played the symphony beautifully.,SVO-adv,music-group sense forced by 'played the symphony',could be b_collocation. Per input type 'a'.,claude-opus-drafting-v1-2026-04-19
uvlt_4k_t03_i01,orchestra,4K,noun,group of people who play music,inappropriate,a_selectional,a_selectional,routine,eligible,The orchestra ate the symphony beautifully.,SVO-adv,orchestra (+collective playing entity) with 'ate' violates activity selection; typical: play/perform/rehearse music,could be b_collocation. Per input type 'a'.,claude-opus-drafting-v1-2026-04-19
uvlt_4k_t03_i02,slot,4K,noun,"long, thin opening",appropriate,NA,,careful,careful,He dropped a coin into the slot.,SVO-PP,thin-opening sense forced by 'coin into',,claude-opus-drafting-v1-2026-04-19
